;;;traversal;traversal;traversal;traversal;traversal;traversal;traversal;traversal;return;return;return;return;return;return;return;return;midpoint;midpoint;midpoint;midpoint;midpoint;midpoint;midpoint;midpoint;largest gap;largest gap;largest gap;largest gap;largest gap;largest gap;largest gap;largest gap;combined;combined;combined;combined;combined;combined;combined;combined;optimal;optimal;optimal;optimal;optimal;optimal;optimal;optimal
;;;;;BPC;BPC;SC-2;SC-2;BPC-DF-2;BPC-DF-2;;;BPC;BPC;SC-2;SC-2;BPC-DF-2;BPC-DF-2;;;BPC;BPC;SC-2;SC-2;BPC-DF-2;BPC-DF-2;;;BPC;BPC;SC-2;SC-2;BPC-DF-2;BPC-DF-2;;;BPC;BPC;SC-2;SC-2;BPC-DF-2;BPC-DF-2;;;BPC;BPC;SC-2;SC-2;BPC-DF-2;BPC-DF-2
capacity;numOrders;instNum;BKS;BKS_is_opt;LB tree;runtime;UB;runtime;UB;runtime;BKS;BKS_is_opt;LB tree;runtime;UB;runtime;UB;runtime;BKS;BKS_is_opt;LB tree;runtime;UB;runtime;UB;runtime;BKS;BKS_is_opt;LB tree;runtime;UB;runtime;UB;runtime;BKS;BKS_is_opt;LB tree;runtime;UB;runtime;UB;runtime;BKS;BKS_is_opt;LB tree;runtime;UB;runtime;UB;runtime
24;150;4;4230.4;True;4230.4;18.15;4230.4;16.69;4230.4;27.98;5115.2;True;5115.2;307.24;5117.2;14.77;5115.2;114.15;4160.2;True;4160.2;735.39;4161.2;94.39;4163.8;120;4041;True;4041;125.57;4045;31.76;4041;51.01;3988.4;True;3988.4;1190.97;3995.2;120;3992;120;3859;True;3859;545.16;3860.6;110.65;3862.4;120
24;150;5;4257;True;4257;1280.95;4261.8;120;4261.8;120;5166.8;True;5166.8;572.32;5174.8;78.94;5166.8;120;4125.4;True;4125.4;198.92;4129.4;53.33;4128.4;120;4047.6;True;4047.6;141.68;4050.4;42.57;4049.4;120;4002;True;4002;154.28;4004.2;21.66;4002;107.9;3891;True;3891;113.55;3891;14.42;3891;75.17
24;150;6;4188.4;False;4187.67;TL;4189.4;49.97;4190.6;120;5045;True;5045;241.92;5046.2;41.31;5046.2;120;4207.2;True;4207.2;161.17;4210.2;60.69;4207.2;115.05;4063.6;True;4063.6;562.66;4067;46.96;4063.6;120;3991.4;False;3991.09;TL;3991.4;42.71;3997.4;120;3861.6;True;3861.6;355.11;3863;18.02;3863.2;120
24;150;7;4173.4;True;4173.4;247.86;4175;36.53;4173.4;120;5157.2;True;5157.2;1235.81;5161.4;120;5163.2;120;4205.4;True;4205.4;1009.32;4209.6;109.96;4214.2;120;4057.4;True;4057.4;526.39;4062;19.69;4058.4;120;3982.8;True;3982.8;2699.63;3988;120;3989;120;3880.6;True;3880.6;3503.73;3891.4;120;3886.8;120
24;150;8;4196.2;True;4196.2;221.24;4197.6;22.61;4196.8;120;5065.2;True;5065.2;546.35;5066.2;104.81;5068.8;120;4273.6;True;4273.6;139.36;4275.6;23.76;4275.6;120;4112.2;True;4112.2;40.06;4113.2;5.78;4112.2;26.16;4001.4;True;4001.4;408.1;4007.8;120;4002.4;120;3895.4;True;3895.4;1174.5;3904.2;120;3903.6;120
24;150;9;4169.8;True;4169.8;895.68;4170.8;30.96;4171.6;120;5099.4;True;5099.4;943.9;5101.2;20.66;5108;120;4180.2;True;4180.2;287.26;4181.2;75.06;4180.2;120;4012.2;True;4012.2;375.06;4015.2;79.95;4012.2;120;3925;True;3925;982.81;3929;120;3927.2;120;3825.4;True;3825.4;1005.54;3825.4;52.98;3825.4;120
24;150;10;4188;False;4187.5;TL;4188.2;67.23;4191.8;120;5153.2;True;5153.2;392.54;5156;40.86;5156;120;4169;True;4169;176.5;4170.2;27.28;4169.2;120;4043;True;4043;586.2;4043.8;42.67;4046;120;3962.4;True;3962.4;549.96;3963.8;52.68;3962.4;120;3837;True;3837;324.76;3838.6;29.13;3838.8;120
24;200;1;5486.6;True;5486.6;1520.51;5486.6;51.64;5486.8;120;6650.6;True;6650.6;1845.92;6694;120;6654.6;120;5423.2;True;5423.2;1959.69;5470.2;120;5433.6;120;5268.6;False;5267.04;TL;5295.4;120;5279;120;5188.6;True;5188.6;2323.03;5241;120;5201.6;120;5041.6;True;5041.6;2901.68;5091.2;120;5050.4;120
24;200;2;5455.4;False;5455.17;TL;5464.6;120;5462.6;120;6641;True;6641;481.01;6671;120;6650.8;120;5490;False;5485.96;TL;5528.8;120;5493.4;120;5334;False;5328.98;TL;5336.2;120;5354;120;5202.6;True;5202.6;1001.85;5213.6;120;5213.2;120;5077.6;False;5075.49;TL;5198.2;120;5088.6;120
24;200;3;5447.6;False;5445.18;TL;5447.6;55.32;5475.4;120;6636.6;True;6636.6;3172.4;6647.4;120;6645.8;120;5423.6;True;5423.6;251.53;5423.6;104.16;5430.6;120;5299.8;False;5291.52;TL;5315;120;5318.8;120;5153.8;True;5153.8;2168.52;5160;120;5154.8;120;5029.6;False;5025.12;TL;5097.2;120;5046.2;120
