;;;traversal;traversal;traversal;traversal;traversal;traversal;traversal;traversal;return;return;return;return;return;return;return;return;midpoint;midpoint;midpoint;midpoint;midpoint;midpoint;midpoint;midpoint;largest gap;largest gap;largest gap;largest gap;largest gap;largest gap;largest gap;largest gap;combined;combined;combined;combined;combined;combined;combined;combined;optimal;optimal;optimal;optimal;optimal;optimal;optimal;optimal
;;;;;BPC;BPC;SC-2;SC-2;BPC-DF-2;BPC-DF-2;;;BPC;BPC;SC-2;SC-2;BPC-DF-2;BPC-DF-2;;;BPC;BPC;SC-2;SC-2;BPC-DF-2;BPC-DF-2;;;BPC;BPC;SC-2;SC-2;BPC-DF-2;BPC-DF-2;;;BPC;BPC;SC-2;SC-2;BPC-DF-2;BPC-DF-2;;;BPC;BPC;SC-2;SC-2;BPC-DF-2;BPC-DF-2
capacity;numOrders;instNum;BKS;BKS_is_opt;LB tree;runtime;UB;runtime;UB;runtime;BKS;BKS_is_opt;LB tree;runtime;UB;runtime;UB;runtime;BKS;BKS_is_opt;LB tree;runtime;UB;runtime;UB;runtime;BKS;BKS_is_opt;LB tree;runtime;UB;runtime;UB;runtime;BKS;BKS_is_opt;LB tree;runtime;UB;runtime;UB;runtime;BKS;BKS_is_opt;LB tree;runtime;UB;runtime;UB;runtime
60;30;5;441.6;True;441.6;0.92;441.6;0.91;441.6;0.91;580.6;True;580.6;10.43;580.6;4.58;580.6;4.3;505.8;True;505.8;3.65;505.8;3.64;505.8;3.66;480.6;True;480.6;4.52;480.6;4.42;480.6;4.47;433.6;True;433.6;21.57;442.8;9.21;433.6;11.56;430.6;True;430.6;43.99;444.6;20;430.6;27.9
60;30;6;436.8;True;436.8;2427.85;436.8;2.77;436.8;120;586.8;True;586.8;2.33;586.8;2.29;586.8;2.28;521.8;True;521.8;4.6;521.8;4.57;521.8;4.58;478.8;True;478.8;13.28;478.8;6.8;478.8;9.77;428.8;True;428.8;33.39;428.8;2.77;428.8;8.71;424.8;True;424.8;34.44;427.8;8.2;424.8;16.94
60;30;7;441.6;True;441.6;136.41;441.6;6.52;441.6;120;598.6;True;598.6;234.72;598.6;60.88;598.6;42.22;519.8;True;519.8;52.45;519.8;14.19;519.8;9.02;478.8;True;478.8;5.88;478.8;5.71;478.8;5.88;429.6;True;429.6;101.28;429.6;16.96;429.6;20.1;419.6;True;419.6;14.93;419.6;14.89;419.6;12.13
60;30;8;486;True;486;1.23;486;1.24;486;1.24;648;True;648;1.27;648;1.23;648;1.22;571;True;571;2.92;571;2.9;571;2.9;531;True;531;3.56;531;3.52;531;3.54;475;True;475;26.36;476;3.59;475;8.35;470;True;470;44.89;470;19.46;470;33.17
60;30;9;441.6;True;441.6;214.54;441.6;120;441.6;17.28;606.6;True;606.6;54.6;608.6;13.96;606.6;12.91;522.6;True;522.6;7.86;522.6;7.71;522.6;5.5;499.6;True;499.6;58.88;499.6;41.74;499.6;47.45;433.6;True;433.6;27.3;433.6;6.92;433.6;6.56;432.6;True;432.6;235.75;432.6;27.09;432.6;28.43
60;30;10;436.8;True;436.8;247.68;441.6;93.44;441.6;120;601.6;True;601.6;380.36;601.6;58.31;601.6;93.71;496.6;True;496.6;66.29;496.6;66.05;496.6;32.8;472.6;True;472.6;142.37;472.6;82.05;472.6;47.72;423.8;True;423.8;487.53;457.6;120;423.8;120;417.6;True;417.6;778.55;456.6;120;417.6;120
60;40;1;681.6;True;681.6;31.43;681.6;8.38;681.6;14.13;902.4;True;902.4;125.41;903.2;11.35;902.4;63.14;805.4;True;805.4;208.27;813.6;31.49;805.6;120;745.2;True;745.2;63.17;756.2;30.55;745.2;49.26;666.6;True;666.6;128.6;668.6;10.93;666.6;96.17;661.4;True;661.4;534.67;661.4;26.03;661.4;120
60;40;2;576;False;574.95;TL;641.8;120;576;120;773;True;773;905.33;773;26.22;775;120;670;True;670;92.2;674;42.52;670;54.9;636;True;636;220.86;638;83.41;639;120;558;True;558;301.22;558;76.49;558;100.23;554;True;554;570.62;554;55.83;556;120
60;40;3;681.6;True;681.6;187.24;681.6;8.08;681.6;120;895.2;True;895.2;43.65;911.2;21.23;895.2;18.91;794.6;True;794.6;164.44;800.6;21.79;794.6;104.37;758.6;True;758.6;385.27;766.4;26.88;759.4;120;668.6;True;668.6;142.27;672.6;12.24;668.6;55.82;663.4;True;663.4;1114.21;676.6;43.55;665.6;120
60;40;4;571.8;True;571.8;14.79;571.8;3.77;571.8;7.52;743.8;True;743.8;9.59;743.8;9.29;743.8;14.14;683.8;True;683.8;25.04;683.8;17.44;683.8;33.56;637.8;True;637.8;74.16;692;72.19;637.8;88.68;559.8;True;559.8;12.6;559.8;6.47;559.8;7.62;555.2;True;555.2;20.04;555.2;13.81;555.2;22.44
60;40;5;576;False;574.73;TL;576;24.1;576;120;757.8;True;757.8;64;757.8;20.82;757.8;18.34;670.8;True;670.8;15.03;670.8;14;670.8;14.18;627.8;True;627.8;54.71;629.8;21.82;627.8;31.41;564.8;True;564.8;95.04;564.8;34.78;564.8;38.52;558.8;True;558.8;281.11;560.8;41.19;558.8;107.47
60;40;6;652.6;True;652.6;26.17;652.6;5.05;652.6;17.6;834.8;True;834.8;23.01;845.8;11.71;834.8;15.74;724;True;724;16.05;725;13.12;724;15.69;688;True;688;34.67;688;26.6;688;34;630.8;True;630.8;29.74;644.8;22.11;630.8;42.89;620;True;620;89.34;628;28.28;620;120
60;40;7;658.8;True;658.8;TL;661.8;8.08;658.8;120;851.4;True;851.4;85.02;853.6;13.05;851.4;38.08;753.8;True;753.8;104.11;759.2;27.26;753.8;105.94;702.8;True;702.8;34.19;713.8;45.92;702.8;38.47;635.8;True;635.8;63.39;635.8;7.45;635.8;37.11;620.8;True;620.8;13.03;620.8;12.87;620.8;23.5
60;40;8;566.4;False;566.19;TL;642;120;566.4;120;774.2;True;774.2;89.61;783.4;45.17;774.2;24.11;651.4;True;651.4;13.35;651.4;12.77;651.4;14.31;624.4;True;624.4;336.33;624.4;114.57;624.4;120;553.2;True;553.2;540.91;554;113.56;554;120;545.4;True;545.4;1201.04;586.2;120;546;120
60;40;9;576;True;576;1232.83;625.8;120;576;120;747.8;True;747.8;42.19;747.8;20.55;747.8;19.73;642;True;642;141.71;642;51.54;642;27.74;600;True;600;430.79;674;120;600;105.13;557;True;557;1622.96;625.8;120;558;120;548;False;546.33;TL;599;120;551;120
60;40;10;631.8;True;631.8;7.79;631.8;5.73;631.8;4.03;826.6;True;826.6;3.46;826.6;3.41;826.6;3.31;741.6;True;741.6;36.6;762.6;27.11;741.6;32.4;703.8;True;703.8;64.78;714;31.31;703.8;79.88;615.8;True;615.8;7.99;625;12.56;615.8;4.97;613.8;True;613.8;32.29;621.6;17.58;613.8;31.7
60;50;1;808.6;True;808.6;2163.19;824.8;120;811.2;120;1074.4;True;1074.4;40.94;1127.4;120;1074.4;57.75;882.8;True;882.8;62.92;891.2;61.67;882.8;78.6;845.8;True;845.8;252.77;889.4;120;850.8;120;788;True;788;222.36;819.8;116.66;792;120;759;True;759;170.84;803.4;120;759;120
60;50;2;684.6;False;682.58;TL;684.6;73.86;684.6;120;924.6;False;923.84;TL;937.4;113.71;944.6;120;802.8;True;802.8;3533.62;818.6;120;819.6;120;747.8;True;747.8;741.67;757.8;120;785.6;120;669.8;False;667.18;TL;763.2;120;674.6;120;659.8;False;658.53;TL;736.2;120;721.4;120
60;50;3;748.8;True;748.8;1208.93;782.4;120;748.8;120;1003.4;True;1003.4;54.41;1003.6;29.7;1003.4;43.64;873.4;True;873.4;234.05;926.2;120;874.6;120;816.6;True;816.6;139.01;894.4;120;816.6;120;731.6;True;731.6;32.51;809.6;120;731.6;35.84;722.4;True;722.4;267.14;797.6;120;728.2;120
60;50;4;785.2;True;785.2;243.04;811.2;120;785.2;120;1049;True;1049;350.86;1068.2;120;1054;120;914.2;True;914.2;196.95;945;120;931.2;120;860.4;True;860.4;305.73;881.2;120;869.2;120;766.2;True;766.2;119.56;778.2;114.99;766.2;120;758.2;True;758.2;190;781;120;759;120
60;50;5;811.2;True;811.2;62.34;844.8;120;811.2;96.23;1065.6;True;1065.6;129.28;1089.6;120;1065.6;106.75;945.8;True;945.8;80.11;945.8;62.82;945.8;65.35;898.2;True;898.2;422.89;941.4;120;911;120;793.8;True;793.8;43.41;816.2;106.76;793.8;26.77;777;True;777;21.55;777;22.18;777;40.69
