;;;traversal;traversal;traversal;traversal;traversal;traversal;traversal;traversal;return;return;return;return;return;return;return;return;midpoint;midpoint;midpoint;midpoint;midpoint;midpoint;midpoint;midpoint;largest gap;largest gap;largest gap;largest gap;largest gap;largest gap;largest gap;largest gap;combined;combined;combined;combined;combined;combined;combined;combined;optimal;optimal;optimal;optimal;optimal;optimal;optimal;optimal
;;;;;BPC;BPC;SC-2;SC-2;BPC-DF-2;BPC-DF-2;;;BPC;BPC;SC-2;SC-2;BPC-DF-2;BPC-DF-2;;;BPC;BPC;SC-2;SC-2;BPC-DF-2;BPC-DF-2;;;BPC;BPC;SC-2;SC-2;BPC-DF-2;BPC-DF-2;;;BPC;BPC;SC-2;SC-2;BPC-DF-2;BPC-DF-2;;;BPC;BPC;SC-2;SC-2;BPC-DF-2;BPC-DF-2
capacity;numOrders;instNum;BKS;BKS_is_opt;LB tree;runtime;UB;runtime;UB;runtime;BKS;BKS_is_opt;LB tree;runtime;UB;runtime;UB;runtime;BKS;BKS_is_opt;LB tree;runtime;UB;runtime;UB;runtime;BKS;BKS_is_opt;LB tree;runtime;UB;runtime;UB;runtime;BKS;BKS_is_opt;LB tree;runtime;UB;runtime;UB;runtime;BKS;BKS_is_opt;LB tree;runtime;UB;runtime;UB;runtime
24;30;4;970.8;True;970.80;0.99;979.2;1.03;970.8;0.34;1140.6;True;1140.60;0.26;1141.6;0.17;1140.6;0.09;981.8;True;981.80;0.04;981.8;0.05;981.8;0.06;930.0;True;930.00;0.42;931.0;0.21;930.0;0.29;916.6;True;916.60;0.49;916.6;0.45;916.6;0.17;890.0;True;890.00;0.76;890.0;0.46;890.0;0.47
24;30;5;1009.8;True;1009.80;0.39;1011.6;0.23;1009.8;0.36;1161.4;True;1161.40;0.88;1164.4;0.27;1161.4;0.51;974.4;True;974.40;1.63;978.4;0.25;974.4;0.61;948.4;True;948.40;2.82;952.4;0.52;948.4;1.49;926.8;True;926.80;0.90;926.8;0.14;926.8;0.42;894.8;True;894.80;2.22;896.4;0.68;894.8;0.78
24;30;6;1005.4;True;1005.40;0.63;1005.4;0.68;1005.4;0.21;1191.2;True;1191.20;5.33;1195.2;0.93;1191.2;3.70;988.6;True;988.60;0.03;988.6;0.04;988.6;0.04;947.6;True;947.60;0.45;947.6;0.20;947.6;0.13;949.6;True;949.60;1.30;952.4;0.64;949.6;0.44;910.6;True;910.60;0.84;910.6;0.43;910.6;0.42
24;30;7;967.4;True;967.40;1.84;967.4;0.38;967.4;0.77;1158.2;True;1158.20;0.20;1158.2;0.13;1158.2;0.08;965.8;True;965.80;0.45;965.8;0.18;965.8;0.12;924.8;True;924.80;0.89;924.8;0.17;924.8;0.24;912.6;True;912.60;0.86;912.6;0.43;912.6;0.26;881.4;True;881.40;0.08;881.4;0.08;881.4;0.09
24;30;8;1030.0;True;1030.00;0.05;1030.0;0.05;1030.0;0.13;1227.8;True;1227.80;0.94;1227.8;0.35;1227.8;0.37;1037.0;True;1037.00;0.17;1037.0;0.11;1037.0;0.08;985.0;True;985.00;1.62;985.0;0.32;985.0;0.49;954.0;True;954.00;0.07;954.0;0.08;954.0;0.08;921.0;True;921.00;0.32;922.0;0.23;921.0;0.22
24;30;9;1001.8;True;1001.80;1.09;1003.0;0.59;1001.8;0.37;1212.0;True;1212.00;0.84;1218.0;0.63;1212.0;0.42;1006.2;True;1006.20;0.98;1007.2;0.27;1006.2;0.35;963.0;True;963.00;0.77;963.2;0.59;963.0;0.43;939.4;True;939.40;0.04;939.4;0.05;939.4;0.05;916.0;True;916.00;0.38;916.0;0.17;916.0;0.16
24;30;10;908.8;True;908.80;0.58;908.8;0.20;908.8;0.30;1129.8;True;1129.80;0.62;1129.8;0.17;1129.8;0.10;884.6;True;884.60;0.05;884.6;0.05;884.6;0.08;860.8;True;860.80;0.56;860.8;0.17;860.8;0.14;838.8;True;838.80;0.02;838.8;0.03;838.8;0.03;818.4;True;818.40;1.12;821.6;0.28;818.4;0.81
24;40;1;1407.8;True;1407.80;8.66;1407.8;0.95;1407.8;8.91;1672.8;True;1672.80;1.63;1672.8;0.50;1672.8;0.43;1428.8;True;1428.80;0.15;1428.8;0.15;1428.8;0.15;1357.8;True;1357.80;0.61;1357.8;0.47;1357.8;0.33;1332.6;True;1332.60;2.69;1335.6;0.51;1332.6;0.77;1284.6;True;1284.60;6.13;1287.6;1.33;1284.6;3.69
24;40;2;1225.0;True;1225.00;1.57;1225.0;0.73;1225.0;0.82;1507.2;True;1507.20;1.46;1507.2;0.33;1507.2;0.46;1256.0;True;1256.00;0.51;1263.0;0.29;1256.0;0.24;1215.4;True;1215.40;1.43;1219.2;0.40;1215.4;0.51;1179.4;True;1179.40;2.77;1180.2;0.75;1179.4;1.00;1132.4;True;1132.40;2.44;1133.4;0.36;1132.4;0.72
24;40;3;1393.2;True;1393.20;0.68;1397.6;0.27;1393.2;0.22;1668.4;True;1668.40;0.52;1668.4;0.15;1668.4;0.23;1428.6;True;1428.60;0.30;1428.6;0.21;1428.6;0.12;1380.6;True;1380.60;0.06;1380.6;0.07;1380.6;0.13;1319.2;True;1319.20;0.04;1319.2;0.04;1319.2;0.08;1278.0;True;1278.00;0.89;1278.0;0.22;1278.0;0.36
24;40;4;1270.6;True;1270.60;0.94;1278.6;0.93;1270.6;0.31;1487.4;True;1487.40;1.09;1488.6;0.94;1487.4;0.61;1294.8;True;1294.80;0.35;1294.8;0.29;1294.8;0.23;1240.6;True;1240.60;1.03;1244.0;0.35;1240.6;0.56;1197.0;True;1197.00;2.01;1197.0;0.52;1197.0;0.53;1151.8;True;1151.80;0.80;1151.8;0.43;1151.8;0.43
24;40;5;1295.6;True;1295.60;1.54;1295.6;0.31;1295.6;0.71;1514.4;True;1514.40;0.84;1516.4;0.20;1514.4;0.23;1260.4;True;1260.40;0.24;1260.4;0.19;1260.4;0.12;1203.4;True;1203.40;0.08;1203.4;0.09;1203.4;0.09;1218.4;True;1218.40;1.51;1218.4;0.25;1218.4;0.56;1167.4;True;1167.40;1.91;1167.4;0.35;1167.4;0.80
24;40;6;1378.6;True;1378.60;0.45;1378.6;0.84;1378.6;0.21;1610.4;True;1610.40;4.00;1617.4;1.14;1610.4;1.19;1343.4;True;1343.40;1.29;1343.4;0.24;1343.4;0.49;1294.8;True;1294.80;0.77;1294.8;0.18;1294.8;0.33;1283.4;True;1283.40;0.55;1283.4;0.18;1283.4;0.23;1226.6;True;1226.60;2.57;1226.6;0.35;1226.6;0.97
