Instance Set,n,synthesis_mean,synthesis_std,execution_mean,execution_std
SPRP,2400,0.3203959249511051,0.09666253899824805,1.0622135608022412,3.2395104673817334
SPRP-SS,14300,0.8379890218395349,0.6561127559442164,4.0083760682955205,10.315763287937788
BahceciOencan,1350,2.511224456253565,0.5577016494065713,151.8980220730872,104.30767990331769
HennWaescher,5760,0.6332772531653367,0.36919129668015666,8.54246346491499,8.409771871761437
MuterOencan,270,0.3580332395862098,0.01254854572344355,18.486582488418314,15.174968478210559
Foodmart,144,0.26024245519268635,0.007148741360966182,14.281361925797277,36.344317877277994
Kris,479,1.393746345966961,0.0885947854407642,363.0012438445272,440.30560982103515
